,sentence1,sentence2,predicted_score,score
0,['A group of kids is playing in a yard and an old man is standing in the background'],['A group of boys in a yard is playing and a man is standing in the background'],0.8037936091423035,4.5
1,['A group of children is playing in the house and there is no man standing in the background'],['A group of kids is playing in a yard and an old man is standing in the background'],0.5375797748565674,3.2
2,['The young boys are playing outdoors and the man is smiling nearby'],['The kids are playing outdoors near a man with a smile'],0.7362998723983765,4.7
3,['The kids are playing outdoors near a man with a smile'],['A group of kids is playing in a yard and an old man is standing in the background'],0.5458528399467468,3.4
4,['The young boys are playing outdoors and the man is smiling nearby'],['A group of kids is playing in a yard and an old man is standing in the background'],0.4218873381614685,3.7
5,['Two dogs are fighting'],['Two dogs are wrestling and hugging'],0.7047411203384399,4.0
6,['A brown dog is attacking another animal in front of the man in pants'],['Two dogs are fighting'],0.6252419352531433,3.5
7,['A brown dog is attacking another animal in front of the man in pants'],['Two dogs are wrestling and hugging'],0.4452551007270813,3.2
8,['Nobody is riding the bicycle on one wheel'],['A person in a black jacket is doing tricks on a motorbike'],0.18783289194107056,2.8
9,['A person is riding the bicycle on one wheel'],['A man in a black jacket is doing tricks on a motorbike'],0.29736292362213135,3.7
10,['A person on a black motorbike is doing tricks with a jacket'],['A person is riding the bicycle on one wheel'],0.38080844283103943,3.4
11,['A man with a jersey is dunking the ball at a basketball game'],['The ball is being dunked by a man with a jersey at a basketball game'],0.9619753360748291,4.9
12,['A man with a jersey is dunking the ball at a basketball game'],['A man who is playing dunks the basketball into the net and a crowd is in background'],0.6920897364616394,3.6
13,['The player is dunking the basketball into the net and a crowd is in background'],['A man with a jersey is dunking the ball at a basketball game'],0.6178056597709656,3.8
14,['Two people are kickboxing and spectators are not watching'],['Two people are kickboxing and spectators are watching'],0.8866173028945923,3.4
15,['Two young women are sparring in a kickboxing fight'],['Two women are sparring in a kickboxing match'],0.9087583422660828,4.9
16,['Two young women are not sparring in a kickboxing fight'],['Two women are sparring in a kickboxing match'],0.7630155086517334,3.9
17,['Two people are kickboxing and spectators are watching'],['Two young women are not sparring in a kickboxing fight'],0.42386505007743835,3.415
18,['Two women are sparring in a kickboxing match'],['Two people are kickboxing and spectators are not watching'],0.5546338558197021,3.7
19,['Three boys are jumping in the leaves'],['Three kids are jumping in the leaves'],0.8925760984420776,4.4
20,['Three kids are sitting in the leaves'],['Three kids are jumping in the leaves'],0.7878903150558472,3.8
21,['Children in red shirts are playing in the leaves'],['Three kids are sitting in the leaves'],0.614489734172821,3.5
22,['Children in red shirts are playing in the leaves'],['Three kids are jumping in the leaves'],0.6090717315673828,4.0
23,['Two angels are making snow on the lying children'],['Two children are lying in the snow and are making snow angels'],0.9042287468910217,2.9
24,['Two children are lying in the snow and are drawing angels'],['Two people in snowsuits are lying in the snow and making snow angels'],0.7257057428359985,4.1
25,['Two people in snowsuits are lying in the snow and making snow angels'],['Two angels are making snow on the lying children'],0.7642419934272766,2.5
26,['Two children are lying in the snow and are making snow angels'],['Two people in snowsuits are lying in the snow and making snow angels'],0.8221845626831055,4.2
